
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.0796   226.0575    3000    3000   320    16     0     8       -1

      --         --     0.0809   222.4993    3000    3000   328    16     0     8       -1
      --         --     0.0844   213.3330    3000    3000   328    16     0     8       -1
      --         --     0.0826   217.9342    3000    3000   328    16     0     8       -1

      --         --     0.0783   229.8799    3000    3000   336    16     0     8       -1
      --         --     0.0790   227.6590    3000    3000   336    16     0     8       -1
      --         --     0.0781   230.5433    3000    3000   336    16     0     8       -1

      --         --     0.0823   218.5587    3000    3000   344    16     0     8       -1
      --         --     0.0847   212.5122    3000    3000   344    16     0     8       -1
      --         --     0.0800   225.0138    3000    3000   344    16     0     8       -1

      --         --     0.0888   202.6389    3000    3000   352    16     0     8       -1
      --         --     0.0826   217.8293    3000    3000   352    16     0     8       -1
      --         --     0.0797   225.6725    3000    3000   352    16     0     8       -1

      --         --     0.0830   216.7788    3000    3000   360    16     0     8       -1
      --         --     0.0836   215.1552    3000    3000   360    16     0     8       -1
      --         --     0.0861   208.9540    3000    3000   360    16     0     8       -1

      --         --     0.0915   196.6894    3000    3000   368    16     0     8       -1
      --         --     0.0854   210.7362    3000    3000   368    16     0     8       -1
      --         --     0.0878   204.9782    3000    3000   368    16     0     8       -1

      --         --     0.0847   212.4453    3000    3000   376    16     0     8       -1
      --         --     0.0871   206.5050    3000    3000   376    16     0     8       -1
      --         --     0.0813   221.3329    3000    3000   376    16     0     8       -1

      --         --     0.0843   213.4657    3000    3000   384    16     0     8       -1
      --         --     0.0821   219.1965    3000    3000   384    16     0     8       -1
      --         --     0.0863   208.5590    3000    3000   384    16     0     8       -1

      --         --     0.0866   207.7880    3000    3000   392    16     0     8       -1
      --         --     0.0841   214.0258    3000    3000   392    16     0     8       -1
      --         --     0.0862   208.8841    3000    3000   392    16     0     8       -1

      --         --     0.0835   215.3951    3000    3000   400    16     0     8       -1
      --         --     0.0826   217.9254    3000    3000   400    16     0     8       -1
      --         --     0.0847   212.4434    3000    3000   400    16     0     8       -1

      --         --     0.0855   210.5827    3000    3000   408    16     0     8       -1
      --         --     0.0861   209.0795    3000    3000   408    16     0     8       -1
      --         --     0.0874   205.9039    3000    3000   408    16     0     8       -1

      --         --     0.0855   210.3951    3000    3000   416    16     0     8       -1
      --         --     0.0884   203.5277    3000    3000   416    16     0     8       -1
      --         --     0.0887   202.9693    3000    3000   416    16     0     8       -1

      --         --     0.0890   202.2466    3000    3000   424    16     0     8       -1
      --         --     0.0909   198.0483    3000    3000   424    16     0     8       -1
      --         --     0.0915   196.7781    3000    3000   424    16     0     8       -1

      --         --     0.0901   199.7387    3000    3000   432    16     0     8       -1
      --         --     0.0869   206.9976    3000    3000   432    16     0     8       -1
      --         --     0.0881   204.1578    3000    3000   432    16     0     8       -1

      --         --     0.0891   201.9028    3000    3000   440    16     0     8       -1
      --         --     0.0900   199.9275    3000    3000   440    16     0     8       -1
      --         --     0.0892   201.7032    3000    3000   440    16     0     8       -1

      --         --     0.0893   201.4617    3000    3000   448    16     0     8       -1
      --         --     0.0872   206.3976    3000    3000   448    16     0     8       -1
      --         --     0.0881   204.2972    3000    3000   448    16     0     8       -1

      --         --     0.0909   198.0427    3000    3000   456    16     0     8       -1
      --         --     0.0907   198.4199    3000    3000   456    16     0     8       -1
      --         --     0.0883   203.7318    3000    3000   456    16     0     8       -1

      --         --     0.0921   195.3760    3000    3000   464    16     0     8       -1
      --         --     0.0933   192.9637    3000    3000   464    16     0     8       -1
      --         --     0.0935   192.4775    3000    3000   464    16     0     8       -1

      --         --     0.0901   199.6949    3000    3000   472    16     0     8       -1
      --         --     0.0894   201.2471    3000    3000   472    16     0     8       -1
      --         --     0.0908   198.2160    3000    3000   472    16     0     8       -1

      --         --     0.0892   201.7962    3000    3000   480    16     0     8       -1
      --         --     0.0935   192.4475    3000    3000   480    16     0     8       -1
      --         --     0.0923   195.0268    3000    3000   480    16     0     8       -1

      --         --     0.0950   189.4806    3000    3000   488    16     0     8       -1
      --         --     0.0952   189.0640    3000    3000   488    16     0     8       -1
