
  Status      Error       Time    Gflop/s       m       n    nb    ib  padA  mtpf  zerocol
      --         --     0.1015   177.2990    3000    3000   264    16     0     8       -1
      --         --     0.1081   166.4442    3000    3000   264    16     0     8       -1
      --         --     0.1079   166.8013    3000    3000   264    16     0     8       -1

      --         --     0.1097   164.0334    3000    3000   272    16     0     8       -1
      --         --     0.1132   159.0340    3000    3000   272    16     0     8       -1
      --         --     0.1064   169.1823    3000    3000   272    16     0     8       -1

      --         --     0.1115   161.3245    3000    3000   280    16     0     8       -1
      --         --     0.1053   170.9166    3000    3000   280    16     0     8       -1
      --         --     0.1101   163.5057    3000    3000   280    16     0     8       -1

      --         --     0.1119   160.7557    3000    3000   288    16     0     8       -1
      --         --     0.1057   170.1763    3000    3000   288    16     0     8       -1
      --         --     0.1066   168.7489    3000    3000   288    16     0     8       -1

      --         --     0.1235   145.7234    3000    3000   296    16     0     8       -1
      --         --     0.1252   143.7329    3000    3000   296    16     0     8       -1
      --         --     0.1131   159.1663    3000    3000   296    16     0     8       -1

      --         --     0.1116   161.1958    3000    3000   304    16     0     8       -1
      --         --     0.1158   155.4356    3000    3000   304    16     0     8       -1
      --         --     0.1163   154.7800    3000    3000   304    16     0     8       -1

      --         --     0.1266   142.1542    3000    3000   312    16     0     8       -1
      --         --     0.1291   139.4216    3000    3000   312    16     0     8       -1
      --         --     0.1209   148.8478    3000    3000   312    16     0     8       -1

      --         --     0.1346   133.6530    3000    3000   320    16     0     8       -1
      --         --     0.1316   136.7337    3000    3000   320    16     0     8       -1
      --         --     0.1185   151.8458    3000    3000   320    16     0     8       -1

      --         --     0.1278   140.7975    3000    3000   328    16     0     8       -1
      --         --     0.1304   138.0103    3000    3000   328    16     0     8       -1
      --         --     0.1228   146.4910    3000    3000   328    16     0     8       -1

      --         --     0.1296   138.9066    3000    3000   336    16     0     8       -1
      --         --     0.1229   146.3796    3000    3000   336    16     0     8       -1
      --         --     0.1209   148.9063    3000    3000   336    16     0     8       -1

      --         --     0.1229   146.4318    3000    3000   344    16     0     8       -1
      --         --     0.1264   142.3640    3000    3000   344    16     0     8       -1
      --         --     0.1225   146.8888    3000    3000   344    16     0     8       -1

      --         --     0.1245   144.5737    3000    3000   352    16     0     8       -1
      --         --     0.1510   119.2126    3000    3000   352    16     0     8       -1
      --         --     0.1732   103.9299    3000    3000   352    16     0     8       -1

      --         --     0.1585   113.5038    3000    3000   360    16     0     8       -1
      --         --     0.1640   109.7592    3000    3000   360    16     0     8       -1
      --         --     0.1730   104.0234    3000    3000   360    16     0     8       -1

      --         --     0.1830    98.3290    3000    3000   368    16     0     8       -1
      --         --     0.1825    98.6118    3000    3000   368    16     0     8       -1
      --         --     0.1737   103.6051    3000    3000   368    16     0     8       -1

      --         --     0.1858    96.8288    3000    3000   376    16     0     8       -1
      --         --     0.1469   122.5051    3000    3000   376    16     0     8       -1
      --         --     0.1200   149.9599    3000    3000   376    16     0     8       -1

      --         --     0.1240   145.1180    3000    3000   384    16     0     8       -1
      --         --     0.1322   136.0750    3000    3000   384    16     0     8       -1
      --         --     0.1226   146.8002    3000    3000   384    16     0     8       -1

      --         --     0.1316   136.6980    3000    3000   392    16     0     8       -1
      --         --     0.1260   142.7864    3000    3000   392    16     0     8       -1
      --         --     0.1297   138.7465    3000    3000   392    16     0     8       -1

      --         --     0.1237   145.5250    3000    3000   400    16     0     8       -1
      --         --     0.1328   135.5225    3000    3000   400    16     0     8       -1
      --         --     0.1328   135.4869    3000    3000   400    16     0     8       -1

      --         --     0.1258   143.0448    3000    3000   408    16     0     8       -1
      --         --     0.1256   143.2310    3000    3000   408    16     0     8       -1
      --         --     0.1263   142.4409    3000    3000   408    16     0     8       -1

      --         --     0.1219   147.6122    3000    3000   416    16     0     8       -1
      --         --     0.1247   144.3444    3000    3000   416    16     0     8       -1
      --         --     0.1225   146.8955    3000    3000   416    16     0     8       -1

      --         --     0.1331   135.2271    3000    3000   424    16     0     8       -1
      --         --     0.1260   142.8454    3000    3000   424    16     0     8       -1
      --         --     0.1242   144.8840    3000    3000   424    16     0     8       -1

      --         --     0.1272   141.5017    3000    3000   432    16     0     8       -1
      --         --     0.1288   139.7385    3000    3000   432    16     0     8       -1
      --         --     0.1298   138.6933    3000    3000   432    16     0     8       -1

      --         --     0.1293   139.1245    3000    3000   440    16     0     8       -1
      --         --     0.1312   137.1554    3000    3000   440    16     0     8       -1
      --         --     0.1301   138.3134    3000    3000   440    16     0     8       -1

      --         --     0.1311   137.3109    3000    3000   448    16     0     8       -1
      --         --     0.1274   141.2914    3000    3000   448    16     0     8       -1
      --         --     0.1300   138.4047    3000    3000   448    16     0     8       -1

      --         --     0.1337   134.6408    3000    3000   456    16     0     8       -1
      --         --     0.1289   139.6023    3000    3000   456    16     0     8       -1
      --         --     0.1298   138.6724    3000    3000   456    16     0     8       -1

      --         --     0.1326   135.6692    3000    3000   464    16     0     8       -1
      --         --     0.1363   132.0692    3000    3000   464    16     0     8       -1
      --         --     0.1331   135.1653    3000    3000   464    16     0     8       -1

      --         --     0.1364   131.9192    3000    3000   472    16     0     8       -1
